@relation sampleData

@attribute position numeric
@attribute min_copies numeric
@attribute max_copies numeric
@attribute days_left numeric

@data
1,1,1,70
1,1,1,67
1,1,1,64
1,1,1,61
1,1,1,38
1,1,1,35
1,1,1,32
1,1,1,29
1,1,1,9
1,1,1,6
1,1,1,3
44,150,150,5
109,150,150,13
168,150,150,20
208,150,150,23
234,150,150,26
317,150,150,35
1,3,3,7
1,3,3,13
1,3,3,11
1,2,2,7
1,4,4,5
1,4,4,2
1,2,2,8
1,2,2,7
1,2,2,5
1,2,2,2
31,17,18,22
1,4,4,3
26,100,154,1
27,100,154,2
38,100,154,4
84,100,154,11
86,100,154,12
88,100,154,13
203,100,154,27
204,100,154,34
1,1,1,13
1,1,1,10
1,1,1,7
1,2,2,8
1,2,2,7
7,14,16,5
8,14,16,6
10,14,16,15
10,14,16,14
11,14,16,16
19,14,16,29
27,14,16,37
31,14,16,41
31,14,16,39
33,14,16,43
34,14,16,47
34,14,16,44
43,14,16,57
44,14,16,58
19,31,50,6
21,31,50,7
44,31,50,13
48,31,50,14
80,31,50,24
81,31,50,25
84,31,50,26
90,31,50,28
94,31,50,29
105,31,50,37
111,31,50,40
113,31,50,41
116,31,50,42
141,31,50,52
141,31,50,49
142,31,50,69
143,31,50,71
145,31,50,86
145,31,50,84
4,20,20,2
7,20,20,5
8,20,20,8
64,50,50,14
69,50,50,15
119,50,50,31
164,50,50,45
188,50,50,51
214,50,50,59
230,50,50,65
237,50,50,68
263,50,50,74
1,1,1,2
1,1,1,14
1,1,1,11
1,1,1,7
3,1,1,38
3,1,1,36
4,1,1,47
4,1,1,44
4,1,1,41
155,87,88,14
257,87,88,38
301,87,88,47
327,87,88,52
365,87,88,59
1,5,5,14
1,5,5,11
1,5,5,8
1,2,2,6
1,2,2,3
2,17,18,1
7,3,3,37
7,3,3,34
7,3,3,30
7,3,3,27
4,5,5,10
4,5,5,7
4,5,5,4
5,5,5,12
7,5,5,18
8,5,5,20
14,5,5,52
16,5,5,57
18,5,5,59
20,5,5,63
22,5,5,74
22,5,5,71
22,5,5,68
24,5,5,80
24,5,5,79
4,9,9,5
4,9,9,4
4,9,9,3
6,9,9,11
6,9,9,9
25,31,41,6
52,31,41,18
54,31,41,19
57,31,41,20
102,31,41,38
124,31,41,46
125,31,41,47
159,31,41,65
161,31,41,66
166,31,41,68
10,32,32,4
1,5,5,1
2,5,5,10
2,5,5,6
7,5,5,42
7,5,5,39
7,5,5,36
8,5,5,43
2,2,2,29
2,2,2,26
2,2,2,23
1,3,4,19
1,3,4,17
1,3,4,14
1,3,4,10
1,1,1,39
1,1,1,36
1,1,1,13
1,1,1,10
1,1,1,9
1,1,1,6
1,1,1,2
41,50,50,2
10,36,36,4
10,36,36,3
40,36,36,23
42,36,36,24
44,36,36,25
46,36,36,28
49,36,36,31
49,36,36,29
57,36,36,34
60,36,36,35
89,36,36,55
92,36,36,56
96,36,36,58
30,17,17,33
32,17,17,35
34,17,17,37
36,17,17,38
43,17,17,44
80,17,17,83
80,17,17,82
82,17,17,84
85,17,17,91
86,17,17,93
6,4,4,15
1,4,4,2
4,18,18,23
4,18,18,19
4,18,18,13
4,18,18,11
4,18,18,7
5,18,18,30
5,18,18,28
8,18,18,43
8,18,18,42
9,18,18,44
14,18,18,50
18,18,18,57
19,18,18,58
31,18,18,64
62,18,18,83
62,18,18,82
63,18,18,85
64,18,18,96
64,18,18,95
64,18,18,93
64,18,18,87
2,4,4,3
2,4,4,1
1,6,6,11
1,6,6,10
1,6,6,9
1,6,6,6
1,6,6,3
14,6,6,15
15,6,6,17
16,6,6,21
16,6,6,20
16,6,6,18
17,6,6,25
17,6,6,23
18,6,6,27
19,6,6,30
19,6,6,29
19,6,6,28
1,2,2,30
1,2,2,27
1,2,2,24
1,2,2,1
1,1,1,6
1,1,1,3
1,4,4,4
1,4,4,3
1,2,2,8
1,2,2,6
1,2,2,3
1,2,2,2
5,2,2,45
5,2,2,38
12,3,3,4
13,3,3,8
13,3,3,6
1,6,6,5
1,6,6,2
1,3,3,35
1,3,3,32
1,3,3,29
1,3,3,26
1,3,3,2
1,2,3,34
1,2,3,31
1,2,3,9
1,2,3,8
1,2,3,5
1,2,3,2
2,2,3,35
3,2,3,39
3,2,3,36
1,1,1,5
1,1,1,2
1,1,1,10
1,1,1,7
1,1,1,4
1,1,1,1
1,3,3,8
1,3,3,6
2,3,3,15
1,5,5,3
3,7,7,2
4,7,7,4
53,83,83,11
83,83,83,16
141,83,83,27
212,83,83,41
235,83,83,46
261,83,83,52
311,83,83,62
340,83,83,67
367,83,83,71
439,83,83,87
84,150,200,3
227,150,200,14
259,150,200,16
344,150,200,20
725,150,200,52
821,150,200,58
835,150,200,64
35,18,18,33
36,18,18,34
40,18,18,38
41,18,18,39
2,9,9,1
4,4,4,15
4,4,4,14
4,4,4,12
2,2,2,24
2,2,2,21
2,2,2,20
2,2,2,17
1,2,2,6
1,2,2,3
3,29,30,9
3,29,30,8
3,29,30,5
3,29,30,2
2,3,3,2
11,19,19,5
11,19,19,4
11,19,19,3
11,19,19,1
13,19,19,6
18,19,19,10
25,19,19,19
57,19,19,48
57,19,19,47
84,19,19,74
84,19,19,73
88,19,19,78
1,1,1,5
1,1,1,3
9,9,9,2
11,9,9,4
13,9,9,7
13,9,9,6
15,9,9,13
